Dataset,Model,Preprocessor,Fit Time (s),Predict Time (s),Peak Memory (MB),Balanced Accuracy,Precision Macro,Recall Macro,F1 Macro,Average Precision,Error
shoppers,Gaussian Naive Bayes,Yeo-Johnson,0.13925559520721437,0.02859835624694824,9.36741828918457,0.5300284134561062,0.5630463908564146,0.5300284134561062,0.20715690548883975,0.3131508025643037,
shoppers,Gaussian Naive Bayes,Quantile Transform,0.07048699855804444,0.034179091453552246,9.367469787597656,0.5502553789260751,0.571421201085738,0.5502553789260751,0.24648549019477645,0.36719791778237154,
shoppers,Gaussian Naive Bayes,Min-Max Scaler,0.050615549087524414,0.033715677261352536,9.366523742675781,0.5649862019451837,0.5776776543166366,0.5649862019451837,0.2742629128575286,0.26958620579180453,
shoppers,Gaussian Naive Bayes,Standard Scaler,0.038918161392211915,0.020623993873596192,9.36662483215332,0.5689243855980497,0.5782121212361389,0.5689243855980497,0.2818974318599433,0.2952396990834781,
shoppers,Gaussian Naive Bayes,Robust Scaler,0.04159088134765625,0.022121572494506837,9.366759300231934,0.6358713059147673,0.5834001243595346,0.6358713059147673,0.42548759309370415,0.41160463759965743,
shoppers,Gaussian Naive Bayes,Uniform Binning,0.04981231689453125,0.03503165245056152,9.393233299255371,0.5739483506399582,0.577794785431869,0.5739483506399582,0.29382460191500415,0.24996753946935532,
shoppers,Gaussian Naive Bayes,Quantile Binning,0.04401066303253174,0.02102792263031006,9.367133140563965,0.5223309456573624,0.5579499987495246,0.5223309456573624,0.1926130072523797,0.3262834786275206,
shoppers,Gaussian Naive Bayes,Random Undersampling,0.02423100471496582,0.014917421340942382,9.363018989562988,0.7271673938503725,0.6263538335110002,0.7271673938503725,0.6182038571553112,0.44242997002753304,
shoppers,Gaussian Naive Bayes,SMOTE,0.18166511058807372,0.030385828018188475,9.362485885620117,0.6092580128216187,0.5667025509650461,0.6092580128216187,0.562697844056287,0.3377159134117664,
shoppers,Logistic Regression,Baseline,7.746862769126892,0.015271210670471191,9.363341331481934,0.6782990948258049,0.8172533294669471,0.6782990948258049,0.7180420204212506,0.6415690131789421,
shoppers,Logistic Regression,Yeo-Johnson,0.2697904109954834,0.020950508117675782,9.36823844909668,0.7762439431433628,0.8117058093847145,0.7762439431433628,0.7918882055134198,0.6909534688531284,
shoppers,Logistic Regression,Quantile Transform,0.597978138923645,0.0316943883895874,9.368470191955566,0.7730118927161125,0.8136166888212172,0.7730118927161125,0.7907936289859527,0.6973567563437963,
shoppers,Logistic Regression,Min-Max Scaler,0.1088191032409668,0.031243085861206055,9.368439674377441,0.6402619031036133,0.8336619971137396,0.6402619031036133,0.6799807326152837,0.6185685614156805,
shoppers,Logistic Regression,Standard Scaler,0.14507076740264893,0.019461727142333983,9.394164085388184,0.6781373708700621,0.8216171279496317,0.6781373708700621,0.7186111258086232,0.6452008298544767,
shoppers,Logistic Regression,Robust Scaler,6.455285286903381,0.019074892997741698,9.368556022644043,0.678159273756577,0.8197546796637484,0.678159273756577,0.7183304187841507,0.6451993147878168,
shoppers,Logistic Regression,Uniform Binning,0.08341445922851562,0.018359446525573732,9.36839771270752,0.5416423774689477,0.8285919478291472,0.5416423774689477,0.5386774414420598,0.39093551546456173,
shoppers,Logistic Regression,Quantile Binning,0.29455392360687255,0.020045161247253418,9.368874549865723,0.7576561751931369,0.7967169576364372,0.7576561751931369,0.7746417044578628,0.6618973025829653,
