Dataset,Model,Preprocessor,Fold,Converged,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_PR_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_PR_AUC,Test_MCC,Error_Log
kc2,XGBoost,IQR Capping + Scaling,3,,0.0905199000007996,0.0275265000000217,,,90.0,373.0,0.0,7.0,0.9926066167325392,0.9807887593944672,0.954328744840284,5.0,36.0,6.0,5.0,0.7535714285714286,0.6613030004101432,0.344650047684635,
kc2,XGBoost,IQR Capping + Scaling,4,,0.1036622999999963,0.0254715999999461,,,89.0,373.0,0.0,8.0,0.9894972499378126,0.9746921661050498,0.947765867797998,5.0,40.0,2.0,5.0,0.9142857142857144,0.791969696969697,0.5223645292668042,
kc2,XGBoost,IQR Capping + Scaling,5,,0.0872755000000324,0.023333499999353,,,89.0,373.0,0.0,8.0,0.9892899588181642,0.9745356945965246,0.947765867797998,3.0,38.0,4.0,7.0,0.7714285714285714,0.5027210663433573,0.2364386816681324,
kc2,XGBoost,IQR Capping + Scaling,6,,0.1020548999986203,0.0242438000004767,,,91.0,374.0,0.0,5.0,0.9921178698752228,0.9810437312091268,0.967166567735332,5.0,38.0,3.0,6.0,0.656319290465632,0.5012213766625531,0.4316868746562183,
kc2,XGBoost,IQR Capping + Scaling,7,,0.0922347999985504,0.0213695000002189,,,88.0,374.0,0.0,8.0,0.9898200757575758,0.9752367681442852,0.9473486470079449,5.0,36.0,5.0,6.0,0.6906873614190687,0.4939536979873609,0.344650047684635,
kc2,XGBoost,IQR Capping + Scaling,8,,0.0898643999989872,0.0244089999996504,,,88.0,374.0,0.0,8.0,0.9894022950089124,0.9744458992093004,0.9473486470079449,5.0,39.0,2.0,6.0,0.7339246119733924,0.6191001299616522,0.485520466648937,
kc2,XGBoost,IQR Capping + Scaling,9,,0.0933726999992359,0.0209945000005973,,,89.0,374.0,0.0,7.0,0.9911430481283422,0.9783259408792006,0.9539655686720164,6.0,39.0,2.0,5.0,0.7694013303769401,0.5556355647926451,0.5621968600174005,
kc2,XGBoost,IQR Capping + Scaling,10,,0.0901411000013467,0.022413199998482,,,89.0,374.0,0.0,7.0,0.9913519385026736,0.9787458052519098,0.9539655686720164,3.0,40.0,1.0,8.0,0.6341463414634146,0.4501357733175915,0.3806090734789258,
kc2,XGBoost,IQR Removal,1,,0.1126261000008526,0.0039894999990792,0.5961828231811523,0.1256141662597656,70.0,362.0,11.0,26.0,0.9603161304736372,0.8791775911089337,0.7468418884511505,6.0,36.0,6.0,5.0,0.8257575757575757,0.5710306971072521,0.3901300514950186,
kc2,XGBoost,IQR Removal,2,,0.0618369999992864,0.0043022999998356,,,39.0,354.0,19.0,57.0,0.9281585120643432,0.765026557420229,0.4354763629013419,4.0,37.0,5.0,7.0,0.7348484848484849,0.4498155467720685,0.2641860385714604,
kc2,XGBoost,IQR Removal,3,,0.0618182999987766,0.0041782000007515,,,54.0,356.0,17.0,43.0,0.9269644288438684,0.7856354929709712,0.5776322924677331,0.0,39.0,3.0,10.0,0.7511904761904763,0.4399031127602556,-0.1207363221040738,
kc2,XGBoost,IQR Removal,4,,0.0661588000002666,0.0040093000006891,,,51.0,362.0,11.0,46.0,0.9567867112572898,0.8554079943733313,0.5935309732205504,4.0,41.0,1.0,6.0,0.861904761904762,0.7064502164502164,0.502919541122592,
kc2,XGBoost,IQR Removal,5,,0.0725187000007281,0.0028235999998287,,,43.0,369.0,4.0,54.0,0.9584450402144772,0.863638785551241,0.5835562109672451,0.0,40.0,2.0,10.0,0.8595238095238096,0.4898562548562548,-0.0975900072948533,
kc2,XGBoost,IQR Removal,6,,0.064183899999989,0.0026902999998128,,,37.0,364.0,10.0,59.0,0.9123913770053476,0.7589194553575506,0.4820120444678552,1.0,40.0,1.0,10.0,0.6618625277161863,0.4529050272365781,0.1412644828044033,
kc2,XGBoost,IQR Removal,7,,0.0713851000000431,0.0038359000009222,,,80.0,355.0,19.0,16.0,0.9600044563279856,0.8962767449940047,0.7736927450873158,5.0,36.0,5.0,6.0,0.6751662971175165,0.4131362390931768,0.344650047684635,
